"Time","129.57.177.134:2221"
2024-06-11 20:58:15,1.85 ms
2024-06-11 20:58:30,1.80 ms
2024-06-11 20:58:45,1.62 ms
2024-06-11 20:59:00,1.59 ms
2024-06-11 20:59:15,1.96 ms
2024-06-11 20:59:30,1.84 ms
2024-06-11 20:59:45,1.73 ms
2024-06-11 21:00:00,1.47 ms
2024-06-11 21:00:15,1.71 ms
2024-06-11 21:00:30,1.40 ms
2024-06-11 21:00:45,1.60 ms
2024-06-11 21:01:00,1.77 ms
2024-06-11 21:01:15,1.51 ms
2024-06-11 21:01:30,1.64 ms
2024-06-11 21:01:45,1.69 ms
2024-06-11 21:02:00,1.69 ms
2024-06-11 21:02:15,1.80 ms
2024-06-11 21:02:30,2.03 ms
2024-06-11 21:02:45,1.65 ms
2024-06-11 21:03:00,1.94 ms
2024-06-11 21:03:15,1.97 ms
2024-06-11 21:03:30,1.81 ms
2024-06-11 21:03:45,1.65 ms
2024-06-11 21:04:00,1.58 ms
2024-06-11 21:04:15,1.78 ms
2024-06-11 21:04:30,1.49 ms
2024-06-11 21:04:45,1.76 ms
2024-06-11 21:05:00,1.70 ms
2024-06-11 21:05:15,1.42 ms
2024-06-11 21:05:30,1.52 ms
2024-06-11 21:05:45,1.60 ms
2024-06-11 21:06:00,1.59 ms
2024-06-11 21:06:15,1.60 ms
2024-06-11 21:06:30,1.78 ms
2024-06-11 21:06:45,1.79 ms
2024-06-11 21:07:00,1.46 ms
2024-06-11 21:07:15,1.75 ms
2024-06-11 21:07:30,1.47 ms
2024-06-11 21:07:45,1.40 ms
2024-06-11 21:08:00,1.65 ms
2024-06-11 21:08:15,1.49 ms
2024-06-11 21:08:30,1.91 ms

