"Time","129.57.177.136:2221"
2024-06-11 20:58:15,1.81 ms
2024-06-11 20:58:30,1.40 ms
2024-06-11 20:58:45,1.57 ms
2024-06-11 20:59:00,1.71 ms
2024-06-11 20:59:15,1.66 ms
2024-06-11 20:59:30,1.42 ms
2024-06-11 20:59:45,1.54 ms
2024-06-11 21:00:00,1.78 ms
2024-06-11 21:00:15,1.36 ms
2024-06-11 21:00:30,1.67 ms
2024-06-11 21:00:45,1.51 ms
2024-06-11 21:01:00,1.48 ms
2024-06-11 21:01:15,1.38 ms
2024-06-11 21:01:30,1.40 ms
2024-06-11 21:01:45,1.56 ms
2024-06-11 21:02:00,1.31 ms
2024-06-11 21:02:15,1.35 ms
2024-06-11 21:02:30,1.49 ms
2024-06-11 21:02:45,1.39 ms
2024-06-11 21:03:00,1.40 ms
2024-06-11 21:03:15,1.55 ms
2024-06-11 21:03:30,1.45 ms
2024-06-11 21:03:45,1.47 ms
2024-06-11 21:04:00,1.64 ms
2024-06-11 21:04:15,1.53 ms
2024-06-11 21:04:30,1.35 ms
2024-06-11 21:04:45,1.50 ms
2024-06-11 21:05:00,1.28 ms
2024-06-11 21:05:15,1.35 ms
2024-06-11 21:05:30,1.71 ms
2024-06-11 21:05:45,1.32 ms
2024-06-11 21:06:00,1.27 ms
2024-06-11 21:06:15,1.35 ms
2024-06-11 21:06:30,1.53 ms
2024-06-11 21:06:45,1.37 ms
2024-06-11 21:07:00,1.55 ms
2024-06-11 21:07:15,1.25 ms
2024-06-11 21:07:30,1.53 ms
2024-06-11 21:07:45,1.53 ms
2024-06-11 21:08:00,1.38 ms
2024-06-11 21:08:15,1.54 ms
2024-06-11 21:08:30,1.39 ms

