"Time","129.57.177.136:2221"
2024-06-11 20:30:30,1.10 ms
2024-06-11 20:30:45,1.33 ms
2024-06-11 20:31:00,1.36 ms
2024-06-11 20:31:15,1.34 ms
2024-06-11 20:31:30,1.24 ms
2024-06-11 20:31:45,1.23 ms
2024-06-11 20:32:00,1.27 ms
2024-06-11 20:32:15,1.30 ms
2024-06-11 20:32:30,1.40 ms
2024-06-11 20:32:45,1.27 ms
2024-06-11 20:33:00,1.19 ms
2024-06-11 20:33:15,1.26 ms
2024-06-11 20:33:30,1.23 ms
2024-06-11 20:33:45,1.21 ms
2024-06-11 20:34:00,1.22 ms
2024-06-11 20:34:15,1.23 ms
2024-06-11 20:34:30,1.31 ms
2024-06-11 20:34:45,1.23 ms
2024-06-11 20:35:00,1.29 ms
2024-06-11 20:35:15,1.29 ms
2024-06-11 20:35:30,1.31 ms
2024-06-11 20:35:45,1.25 ms
2024-06-11 20:36:00,1.30 ms
2024-06-11 20:36:15,1.21 ms
2024-06-11 20:36:30,1.18 ms
2024-06-11 20:36:45,1.53 ms
2024-06-11 20:37:00,1.27 ms
2024-06-11 20:37:15,1.26 ms
2024-06-11 20:37:30,1.21 ms
2024-06-11 20:37:45,1.36 ms
2024-06-11 20:38:00,1.30 ms
2024-06-11 20:38:15,1.31 ms
2024-06-11 20:38:30,1.29 ms
2024-06-11 20:38:45,1.26 ms
2024-06-11 20:39:00,1.26 ms
2024-06-11 20:39:15,1.27 ms
2024-06-11 20:39:30,1.35 ms
2024-06-11 20:39:45,1.25 ms
2024-06-11 20:40:00,1.24 ms
2024-06-11 20:40:15,1.43 ms
2024-06-11 20:40:30,1.35 ms
2024-06-11 20:40:45,1.20 ms
2024-06-11 20:41:00,1.30 ms
2024-06-11 20:41:15,1.37 ms
2024-06-11 20:41:30,1.31 ms
2024-06-11 20:41:45,1.34 ms
2024-06-11 20:42:00,1.35 ms
2024-06-11 20:42:15,1.27 ms
2024-06-11 20:42:30,1.27 ms

