"Time","129.57.177.134:2221"
2024-06-11 20:30:30,1.67 ms
2024-06-11 20:30:45,2.01 ms
2024-06-11 20:31:00,1.67 ms
2024-06-11 20:31:15,2.24 ms
2024-06-11 20:31:30,2.03 ms
2024-06-11 20:31:45,1.65 ms
2024-06-11 20:32:00,1.97 ms
2024-06-11 20:32:15,1.84 ms
2024-06-11 20:32:30,1.79 ms
2024-06-11 20:32:45,1.42 ms
2024-06-11 20:33:00,1.63 ms
2024-06-11 20:33:15,1.84 ms
2024-06-11 20:33:30,1.62 ms
2024-06-11 20:33:45,1.62 ms
2024-06-11 20:34:00,1.55 ms
2024-06-11 20:34:15,1.62 ms
2024-06-11 20:34:30,1.31 ms
2024-06-11 20:34:45,1.54 ms
2024-06-11 20:35:00,1.53 ms
2024-06-11 20:35:15,1.46 ms
2024-06-11 20:35:30,1.49 ms
2024-06-11 20:35:45,1.58 ms
2024-06-11 20:36:00,1.69 ms
2024-06-11 20:36:15,1.51 ms
2024-06-11 20:36:30,1.52 ms
2024-06-11 20:36:45,1.37 ms
2024-06-11 20:37:00,1.60 ms
2024-06-11 20:37:15,1.55 ms
2024-06-11 20:37:30,1.77 ms
2024-06-11 20:37:45,1.59 ms
2024-06-11 20:38:00,1.85 ms
2024-06-11 20:38:15,1.64 ms
2024-06-11 20:38:30,1.63 ms
2024-06-11 20:38:45,1.88 ms
2024-06-11 20:39:00,1.45 ms
2024-06-11 20:39:15,1.57 ms
2024-06-11 20:39:30,1.53 ms
2024-06-11 20:39:45,1.55 ms
2024-06-11 20:40:00,1.90 ms
2024-06-11 20:40:15,1.78 ms
2024-06-11 20:40:30,1.63 ms
2024-06-11 20:40:45,1.72 ms
2024-06-11 20:41:00,1.68 ms
2024-06-11 20:41:15,1.76 ms
2024-06-11 20:41:30,1.67 ms
2024-06-11 20:41:45,1.64 ms
2024-06-11 20:42:00,1.77 ms
2024-06-11 20:42:15,1.54 ms
2024-06-11 20:42:30,1.47 ms

