"Time","129.57.177.136:2221"
2024-06-11 16:02:30,2.00 ms
2024-06-11 16:02:45,1.84 ms
2024-06-11 16:03:00,1.57 ms
2024-06-11 16:03:15,1.82 ms
2024-06-11 16:03:30,1.55 ms
2024-06-11 16:03:45,1.81 ms
2024-06-11 16:04:00,1.92 ms
2024-06-11 16:04:15,1.75 ms
2024-06-11 16:04:30,1.70 ms
2024-06-11 16:04:45,1.67 ms
2024-06-11 16:05:00,1.78 ms
2024-06-11 16:05:15,1.96 ms
2024-06-11 16:05:30,1.98 ms
2024-06-11 16:05:45,1.87 ms
2024-06-11 16:06:00,1.92 ms
2024-06-11 16:06:15,1.87 ms
2024-06-11 16:06:30,1.36 ms
2024-06-11 16:06:45,1.46 ms
2024-06-11 16:07:00,1.51 ms
2024-06-11 16:07:15,1.48 ms
2024-06-11 16:07:30,1.86 ms
2024-06-11 16:07:45,1.92 ms
2024-06-11 16:08:00,1.67 ms
2024-06-11 16:08:15,2.18 ms
2024-06-11 16:08:30,1.67 ms
2024-06-11 16:08:45,1.92 ms
2024-06-11 16:09:00,1.81 ms
2024-06-11 16:09:15,1.88 ms
2024-06-11 16:09:30,1.80 ms
2024-06-11 16:09:45,1.74 ms
2024-06-11 16:10:00,2.02 ms
2024-06-11 16:10:15,2.02 ms
2024-06-11 16:10:30,1.75 ms
2024-06-11 16:10:45,1.68 ms
2024-06-11 16:11:00,1.56 ms
2024-06-11 16:11:15,1.48 ms
2024-06-11 16:11:30,1.99 ms
2024-06-11 16:11:45,1.78 ms
2024-06-11 16:12:00,1.95 ms
2024-06-11 16:12:15,2.05 ms
2024-06-11 16:12:30,1.99 ms
2024-06-11 16:12:45,1.94 ms
2024-06-11 16:13:00,1.70 ms
2024-06-11 16:13:15,1.83 ms
2024-06-11 16:13:30,1.86 ms
2024-06-11 16:13:45,1.50 ms
2024-06-11 16:14:00,1.94 ms
2024-06-11 16:14:15,1.63 ms
2024-06-11 16:14:30,2.14 ms
2024-06-11 16:14:45,2.08 ms
2024-06-11 16:15:00,2.11 ms
2024-06-11 16:15:15,2.02 ms
2024-06-11 16:15:30,1.72 ms
2024-06-11 16:15:45,1.64 ms
2024-06-11 16:16:00,1.72 ms
2024-06-11 16:16:15,1.84 ms
2024-06-11 16:16:30,1.71 ms
2024-06-11 16:16:45,2.00 ms
2024-06-11 16:17:00,1.83 ms
2024-06-11 16:17:15,1.80 ms
2024-06-11 16:17:30,2.11 ms
2024-06-11 16:17:45,1.99 ms
2024-06-11 16:18:00,2.01 ms
2024-06-11 16:18:15,2.23 ms
2024-06-11 16:18:30,2.27 ms
2024-06-11 16:18:45,1.53 ms
2024-06-11 16:19:00,1.40 ms
2024-06-11 16:19:15,1.68 ms
2024-06-11 16:19:30,1.89 ms
2024-06-11 16:19:45,2.02 ms
2024-06-11 16:20:00,1.75 ms
2024-06-11 16:20:15,1.64 ms

