"Time","129.57.177.136:2221"
2024-06-11 21:28:45,1.63 ms
2024-06-11 21:29:00,1.53 ms
2024-06-11 21:29:15,1.76 ms
2024-06-11 21:29:30,1.56 ms
2024-06-11 21:29:45,1.53 ms
2024-06-11 21:30:00,1.47 ms
2024-06-11 21:30:15,1.88 ms
2024-06-11 21:30:30,1.34 ms
2024-06-11 21:30:45,1.42 ms
2024-06-11 21:31:00,1.63 ms
2024-06-11 21:31:15,1.32 ms
2024-06-11 21:31:30,1.52 ms
2024-06-11 21:31:45,1.37 ms
2024-06-11 21:32:00,1.50 ms
2024-06-11 21:32:15,1.46 ms
2024-06-11 21:32:30,1.31 ms
2024-06-11 21:32:45,1.49 ms
2024-06-11 21:33:00,1.24 ms
2024-06-11 21:33:15,1.35 ms
2024-06-11 21:33:30,1.50 ms
2024-06-11 21:33:45,1.33 ms
2024-06-11 21:34:00,1.52 ms
2024-06-11 21:34:15,1.39 ms
2024-06-11 21:34:30,1.30 ms
2024-06-11 21:34:45,1.48 ms
2024-06-11 21:35:00,1.47 ms
2024-06-11 21:35:15,1.51 ms
2024-06-11 21:35:30,1.29 ms
2024-06-11 21:35:45,1.45 ms
2024-06-11 21:36:00,1.60 ms

