"Time","129.57.177.134:2221"
2024-06-11 21:28:45,1.66 ms
2024-06-11 21:29:00,1.84 ms
2024-06-11 21:29:15,1.71 ms
2024-06-11 21:29:30,1.57 ms
2024-06-11 21:29:45,1.45 ms
2024-06-11 21:30:00,1.71 ms
2024-06-11 21:30:15,1.60 ms
2024-06-11 21:30:30,1.98 ms
2024-06-11 21:30:45,1.58 ms
2024-06-11 21:31:00,1.39 ms
2024-06-11 21:31:15,1.78 ms
2024-06-11 21:31:30,1.67 ms
2024-06-11 21:31:45,1.70 ms
2024-06-11 21:32:00,1.76 ms
2024-06-11 21:32:15,1.74 ms
2024-06-11 21:32:30,1.81 ms
2024-06-11 21:32:45,2.41 ms
2024-06-11 21:33:00,1.63 ms
2024-06-11 21:33:15,1.74 ms
2024-06-11 21:33:30,1.75 ms
2024-06-11 21:33:45,1.58 ms
2024-06-11 21:34:00,1.67 ms
2024-06-11 21:34:15,1.94 ms
2024-06-11 21:34:30,2.02 ms
2024-06-11 21:34:45,1.85 ms
2024-06-11 21:35:00,2.40 ms
2024-06-11 21:35:15,1.92 ms
2024-06-11 21:35:30,1.75 ms
2024-06-11 21:35:45,1.59 ms
2024-06-11 21:36:00,1.43 ms

