"Time","129.57.177.136:2221"
2024-06-11 16:52:30,1.39 ms
2024-06-11 16:52:45,1.29 ms
2024-06-11 16:53:00,1.63 ms
2024-06-11 16:53:15,1.49 ms
2024-06-11 16:53:30,1.52 ms
2024-06-11 16:53:45,1.51 ms
2024-06-11 16:54:00,1.90 ms
2024-06-11 16:54:15,1.51 ms
2024-06-11 16:54:30,1.65 ms
2024-06-11 16:54:45,1.52 ms
2024-06-11 16:55:00,1.66 ms
2024-06-11 16:55:15,1.35 ms
2024-06-11 16:55:30,1.48 ms
2024-06-11 16:55:45,1.82 ms
2024-06-11 16:56:00,1.51 ms
2024-06-11 16:56:15,1.24 ms
2024-06-11 16:56:30,1.38 ms
2024-06-11 16:56:45,1.43 ms
2024-06-11 16:57:00,1.34 ms
2024-06-11 16:57:15,1.53 ms
2024-06-11 16:57:30,1.55 ms
2024-06-11 16:57:45,1.66 ms
2024-06-11 16:58:00,1.58 ms
2024-06-11 16:58:15,1.54 ms
2024-06-11 16:58:30,1.69 ms
2024-06-11 16:58:45,1.69 ms
2024-06-11 16:59:00,1.38 ms
2024-06-11 16:59:15,1.35 ms
2024-06-11 16:59:30,1.46 ms
2024-06-11 16:59:45,1.28 ms
2024-06-11 17:00:00,1.32 ms
2024-06-11 17:00:15,1.35 ms
2024-06-11 17:00:30,1.29 ms
2024-06-11 17:00:45,1.51 ms
2024-06-11 17:01:00,1.63 ms
2024-06-11 17:01:15,1.10 ms
2024-06-11 17:01:30,1.40 ms
2024-06-11 17:01:45,1.50 ms
2024-06-11 17:02:00,1.28 ms
2024-06-11 17:02:15,1.47 ms
2024-06-11 17:02:30,1.45 ms
2024-06-11 17:02:45,1.51 ms
2024-06-11 17:03:00,1.50 ms
2024-06-11 17:03:15,1.54 ms

