"Time","129.57.177.134:2221"
2024-06-11 21:43:45,2.22 ms
2024-06-11 21:44:00,1.96 ms
2024-06-11 21:44:15,1.58 ms
2024-06-11 21:44:30,2.09 ms
2024-06-11 21:44:45,2.09 ms
2024-06-11 21:45:00,1.62 ms
2024-06-11 21:45:15,1.74 ms
2024-06-11 21:45:30,1.72 ms
2024-06-11 21:45:45,1.70 ms
2024-06-11 21:46:00,2.03 ms
2024-06-11 21:46:15,1.98 ms
2024-06-11 21:46:30,2.14 ms
2024-06-11 21:46:45,1.77 ms
2024-06-11 21:47:00,1.67 ms
2024-06-11 21:47:15,1.90 ms
2024-06-11 21:47:30,1.79 ms
2024-06-11 21:47:45,1.71 ms
2024-06-11 21:48:00,1.72 ms
2024-06-11 21:48:15,1.84 ms
2024-06-11 21:48:30,1.58 ms
2024-06-11 21:48:45,1.61 ms
2024-06-11 21:49:00,1.46 ms
2024-06-11 21:49:15,1.53 ms
2024-06-11 21:49:30,3.13 ms
2024-06-11 21:49:45,1.74 ms
2024-06-11 21:50:00,1.74 ms
2024-06-11 21:50:15,1.63 ms
2024-06-11 21:50:30,1.64 ms
2024-06-11 21:50:45,1.56 ms
2024-06-11 21:51:00,1.88 ms
2024-06-11 21:51:15,1.79 ms
2024-06-11 21:51:30,1.95 ms
2024-06-11 21:51:45,1.62 ms
2024-06-11 21:52:00,1.93 ms
2024-06-11 21:52:15,1.61 ms
2024-06-11 21:52:30,1.76 ms
2024-06-11 21:52:45,1.59 ms
2024-06-11 21:53:00,1.56 ms
2024-06-11 21:53:15,1.38 ms
2024-06-11 21:53:30,1.54 ms

