"Time","129.57.177.136:2221"
2024-06-11 21:43:45,1.40 ms
2024-06-11 21:44:00,1.57 ms
2024-06-11 21:44:15,1.76 ms
2024-06-11 21:44:30,1.75 ms
2024-06-11 21:44:45,1.62 ms
2024-06-11 21:45:00,1.65 ms
2024-06-11 21:45:15,1.76 ms
2024-06-11 21:45:30,1.86 ms
2024-06-11 21:45:45,2.10 ms
2024-06-11 21:46:00,2.01 ms
2024-06-11 21:46:15,1.96 ms
2024-06-11 21:46:30,1.85 ms
2024-06-11 21:46:45,1.99 ms
2024-06-11 21:47:00,1.77 ms
2024-06-11 21:47:15,1.80 ms
2024-06-11 21:47:30,1.74 ms
2024-06-11 21:47:45,1.85 ms
2024-06-11 21:48:00,1.72 ms
2024-06-11 21:48:15,1.82 ms
2024-06-11 21:48:30,1.70 ms
2024-06-11 21:48:45,1.91 ms
2024-06-11 21:49:00,1.85 ms
2024-06-11 21:49:15,1.76 ms
2024-06-11 21:49:30,1.87 ms
2024-06-11 21:49:45,1.74 ms
2024-06-11 21:50:00,1.83 ms
2024-06-11 21:50:15,2.19 ms
2024-06-11 21:50:30,1.72 ms
2024-06-11 21:50:45,1.87 ms
2024-06-11 21:51:00,1.91 ms
2024-06-11 21:51:15,1.65 ms
2024-06-11 21:51:30,1.64 ms
2024-06-11 21:51:45,1.78 ms
2024-06-11 21:52:00,2.09 ms
2024-06-11 21:52:15,1.83 ms
2024-06-11 21:52:30,1.88 ms
2024-06-11 21:52:45,1.57 ms
2024-06-11 21:53:00,2.27 ms
2024-06-11 21:53:15,1.61 ms
2024-06-11 21:53:30,1.76 ms

