"Time","129.57.177.136:2221"
2024-06-11 17:18:45,1.18 ms
2024-06-11 17:19:00,1.09 ms
2024-06-11 17:19:15,1.24 ms
2024-06-11 17:19:30,1.27 ms
2024-06-11 17:19:45,1.33 ms
2024-06-11 17:20:00,1.20 ms
2024-06-11 17:20:15,1.43 ms
2024-06-11 17:20:30,1.30 ms
2024-06-11 17:20:45,1.26 ms
2024-06-11 17:21:00,1.30 ms
2024-06-11 17:21:15,1.23 ms
2024-06-11 17:21:30,1.38 ms
2024-06-11 17:21:45,1.38 ms
2024-06-11 17:22:00,1.30 ms
2024-06-11 17:22:15,1.30 ms
2024-06-11 17:22:30,1.09 ms
2024-06-11 17:22:45,1.24 ms
2024-06-11 17:23:00,1.38 ms
2024-06-11 17:23:15,1.40 ms
2024-06-11 17:23:30,1.30 ms
2024-06-11 17:23:45,1.15 ms
2024-06-11 17:24:00,1.31 ms
2024-06-11 17:24:15,1.21 ms
2024-06-11 17:24:30,1.24 ms
2024-06-11 17:24:45,1.28 ms
2024-06-11 17:25:00,1.17 ms
2024-06-11 17:25:15,1.27 ms
2024-06-11 17:25:30,1.14 ms
2024-06-11 17:25:45,1.23 ms
2024-06-11 17:26:00,1.24 ms
2024-06-11 17:26:15,1.19 ms
2024-06-11 17:26:30,1.23 ms
2024-06-11 17:26:45,1.05 ms
2024-06-11 17:27:00,1.00 ms
2024-06-11 17:27:15,1.20 ms
2024-06-11 17:27:30,1.25 ms
2024-06-11 17:27:45,1.37 ms
2024-06-11 17:28:00,1.21 ms
2024-06-11 17:28:15,1.14 ms
2024-06-11 17:28:30,1.12 ms
2024-06-11 17:28:45,1.27 ms
2024-06-11 17:29:00,1.31 ms
2024-06-11 17:29:15,1.16 ms

