"Time","129.57.177.136:2221"
2024-06-11 19:56:15,2.05 ms
2024-06-11 19:56:30,1.95 ms
2024-06-11 19:56:45,2.36 ms
2024-06-11 19:57:00,2.50 ms
2024-06-11 19:57:15,2.38 ms
2024-06-11 19:57:30,1.83 ms
2024-06-11 19:57:45,2.34 ms
2024-06-11 19:58:00,1.96 ms
2024-06-11 19:58:15,1.72 ms
2024-06-11 19:58:30,1.79 ms
2024-06-11 19:58:45,2.03 ms
2024-06-11 19:59:00,1.97 ms
2024-06-11 19:59:15,1.88 ms
2024-06-11 19:59:30,1.86 ms
2024-06-11 19:59:45,2.02 ms
2024-06-11 20:00:00,1.94 ms
2024-06-11 20:00:15,2.11 ms
2024-06-11 20:00:30,2.42 ms
2024-06-11 20:00:45,1.95 ms
2024-06-11 20:01:00,2.02 ms
2024-06-11 20:01:15,2.01 ms
2024-06-11 20:01:30,1.90 ms
2024-06-11 20:01:45,1.84 ms
2024-06-11 20:02:00,2.03 ms
2024-06-11 20:02:15,1.95 ms
2024-06-11 20:02:30,1.96 ms
2024-06-11 20:02:45,1.98 ms
2024-06-11 20:03:00,2.01 ms
2024-06-11 20:03:15,2.32 ms
2024-06-11 20:03:30,1.95 ms
2024-06-11 20:03:45,1.63 ms
2024-06-11 20:04:00,2.01 ms
2024-06-11 20:04:15,1.85 ms
2024-06-11 20:04:30,1.79 ms
2024-06-11 20:04:45,1.84 ms
2024-06-11 20:05:00,2.04 ms
2024-06-11 20:05:15,2.46 ms
2024-06-11 20:05:30,1.81 ms
2024-06-11 20:05:45,1.96 ms
2024-06-11 20:06:00,1.90 ms
2024-06-11 20:06:15,1.87 ms
2024-06-11 20:06:30,1.96 ms
2024-06-11 20:06:45,2.07 ms
2024-06-11 20:07:00,2.37 ms
2024-06-11 20:07:15,2.09 ms
2024-06-11 20:07:30,2.22 ms

